"CODALM";"CODPDT";"LOCALIZ";"SISVAL";"PVP1";"PRESTA";"PREULT";"PREMED";"CANEXI";"CODPRV";"STOCKMIN";"STOCKMAX"
"01";"1852-87";"E";"M";49,31304;0,00000;25,63317;0,00000;0,00;"00001";0,00;0,00
"01";"3J9027";"E";"M";27,83287;0,00000;0,00000;0,00000;0,00;"2";0,00;0,00
"01";"4F8420";"E";"M";39,84710;0,00000;30,65162;30,65162;0,00;"2";0,00;0,00
"01";"8C3840";"E";"M";12,30272;0,00000;9,46594;9,46594;0,00;"2";0,00;0,00
"01";"7J9366";;"M";22,42977;0,00000;0,00000;17,26107;0,00;"2";0,00;0,00
"01";"8C3839";;"M";10,96847;0,00000;8,56442;8,56442;0,00;"2";0,00;0,00
"01";"2K0715";"E";"M";35,77000;0,00000;0,00000;7,88000;0,00;"2";0,00;0,00
"01";"7J9365";;"M";15,73450;0,00000;11,02000;10,68371;0,00;"2";0,00;0,00
"01";"7J9351";"E";"M";10,87832;0,00000;7,27225;7,27225;0,00;"2";0,00;0,00
"01";"4K8225";"E";"M";48,22000;0,00000;28,20000;28,20000;0,00;"2";0,00;0,00
"01";"5K5927";"E";"M";83,83518;0,00000;64,48860;64,48860;0,00;"2";0,00;0,00
"01";"8K5283";"E";"M";24,75569;0,00000;16,55788;16,55788;0,00;"2";0,00;0,00
"01";"3K0963";"E";"M";31,66132;0,00000;21,17366;21,17366;0,00;"2";0,00;0,00
"01";"4K7239";"E";"M";16,17324;0,00000;10,81822;10,81822;0,00;"2";0,00;0,00
"01";"7K9214";"E";"M";11,23893;0,00000;7,51265;7,51265;0,00;"2";0,00;0,00
"01";"9K9158";"E";"M";28,43989;0,00000;21,87684;21,87684;0,00;"2";0,00;0,00
"01";"4K0380";"E";"M";67,19315;0,00000;0,00000;0,00000;0,00;"2";0,00;0,00
"01";"6K8308";"E";"M";28,01317;0,00000;21,55229;21,55229;0,00;"2";0,00;0,00
"01";"5K8265";"E";"M";28,43989;0,00000;21,87684;21,87684;0,00;"2";0,00;0,00
"01";"7J9642";"E";"M";14,72480;0,00000;0,00000;0,00000;0,00;"2";0,00;0,00
"01";"7K9515";"E";"M";35,11714;0,00000;27,01549;27,01549;0,00;"2";0,00;0,00
"01";"7K9644";"E";"M";13,20424;0,00000;10,15710;10,15710;0,00;"2";0,00;0,00
"01";"9X3970";"E";"M";4,95835;0,00000;3,30557;3,30557;0,00;"2";0,00;0,00
"01";"3K0159";"E";"M";14,27404;0,00000;0,00000;0,00000;0,00;"2";0,00;0,00
"01";"7K9514";"E";"M";82,13431;0,00000;63,18440;63,18440;0,00;"2";0,00;0,00
"01";"7K9513";"E";"M";23,78806;0,00000;18,30082;18,30082;0,00;"2";0,00;0,00
"01";"7K9640";"E";"M";12,75348;0,00000;9,81453;9,81453;0,00;"2";0,00;0,00
"01";"7K9638";"E";"M";35,23734;0,00000;27,10565;27,10565;0,00;"2";0,00;0,00
"01";"7K7200";"E";"M";23,78806;0,00000;18,30082;18,30082;0,00;"2";0,00;0,00
"01";"7K9639";"E";"M";11,47332;0,00000;8,82887;8,82887;0,00;"2";0,00;0,00
"01";"6K8307";"E";"M";28,01317;0,00000;21,55229;21,55229;0,00;"2";0,00;0,00
"01";"6K8311";"E";"M";44,55303;0,00000;34,27572;34,27572;0,00;"2";0,00;0,00
"01";"6K8309";"E";"M";80,43345;0,00000;61,87420;61,87420;0,00;"2";0,00;0,00
"01";"4900-ESPEJO";"E";"M";0,00000;0,00000;0,00000;0,00000;0,00;"00000";0,00;0,00
"01";"58X68X10";"E";"M";14,70076;0,00000;8,82046;8,81984;0,00;"72";0,00;0,00
"01";"8K5334";"E";"M";114,26442;0,00000;87,89802;87,89802;0,00;"2";0,00;0,00
"01";"7K9642";"E";"M";13,02994;0,00000;10,02488;10,02488;0,00;"2";0,00;0,00
"01";"4V0380";"E";"M";67,19315;0,00000;44,94369;44,94369;0,00;"2";0,00;0,00
"01";"4F7388";"E";"M";1,71000;0,00000;0,00000;1,22000;0,00;"3";0,00;0,00
"01";"4X25-V";"01010301";"M";2,73461;0,00000;1,37500;1,37785;11,00;"22";4,00;8,00
"01";"4X26-V";"01010301";"M";3,63612;0,00000;2,39203;2,39203;5,00;"22";4,00;8,00
"01";"3.53X26.57-V";;"M";2,43410;0,00000;1,12400;1,12400;10,00;"22";10,00;20,00
"01";"86133103";"E";"M";7,09194;0,00000;4,36575;4,36633;0,00;"94";0,00;0,00
"01";"06067210";"E";"M";3,15531;0,00000;1,92324;1,92324;0,00;"94";0,00;0,00
"01";"6A8537";"E";"M";45,49061;0,00000;35,25537;0,21300;0,00;"3";0,00;0,00
"01";"1852-88";"E";"M";18,60132;0,00000;9,95171;9,95277;0,00;"00001";0,00;0,00
"01";"1852-89";"E";"M";10,51771;0,00000;8,84239;8,84088;0,00;"00001";0,00;0,00
"01";"1852-90";"E";"M";25,87357;0,00000;13,84236;13,84130;0,00;"00001";0,00;0,00
